Timestamp,How would you describe your gender?,Which of the following would you describe yourself as?,Where do you live?,What is your age?,Do you believe that a secret cabal of lizard-people rule the world?,"A man has the confidence that if something is broken, it can be fixed.",A man cultivates as many interests as is possible.,"A man knows everything about something, and something about everything.",A man appreciates beauty in all of its forms.,A man uses his wealth and social standing for the benefit of others.,"A man does what he says he will do, and does not make promises he cannot keep.","A man may take a beating, of whatever kind, but he gets back up afterwards.","A man shows courtesy by holding doors open, pulling out chairs, and allowing others to choose before him.",A man is willing to endure suffering gladly in order to accomplish his goals.,A man protects those who are less strong than him.,A man arrives to occasions on time.,A man always looks to improve himself.,"A man is willing to challenge the status quo, if he has a better alternative.","A man shows sportsmanship, and does not harbour grudges against those that best him.",A man speaks his mind.,A man settles disputes by applying his principles equally to any situation.,A man is financially independent.,A man doesn't let the little frustrations of life get to him.,A man is unashamed of his sexual desires.,A man is willing and able to please his sexual partners.,A man does not make demands of his friends.,A man seeks advice when he wants to find a solution.,A man does not rely on the kindness of others.,A man is quick to respond in a time of crisis.,A man does not let fear or intimidation change his intent.,A man powers through a problem when grace or finesse fails.,"A man cultivates practical skills, and is ready to use them.",A man puts the lives of others over himself.,A man maintains his physical strength and fitness.,A man would rather try and fail than miss their chance at success.,"A man has a plan to get, or do, what it is they want.",A man does not perceive something as a threat to him unless it is a real danger.,"A man has a cause he believes in and takes risks for, and he would gladly suffer because of it.",A man does not lie.,A man cultivates a good sense of humour.,A man channels his anger and frustrations to productive ends.,A man does not need to prove himself to others.,A man prioritises clarity and directness over politeness and people-pleasing.,"A man values competition, and embraces it as a chance to better himself.","A man is open, clear, and consistent in his values.",A man does not trouble others with his feelings until he has made sense of them himself.,"A man is quick to form an opinion, and quick to defend it.","A man is always keen to explore, and seeks things unfamiliar to him.",A man is comfortable with who he is.,"A man makes the first move, sexually and romantically.",A man has a penis.,A man keeps his feelings to himself.,"A man has the confidence to speak authoritatively, unless he is proven wrong.",A man puts his bonds with other men first.,"A man accepts survival of the fittest, and does not let his neighbour's failures taint his successes.",A man's worth is measured by his accomplishments.,"A man does man's work, and lets women do women's work.",A man is able to provide financially for himself and others.,A man dresses practically.,A man takes the lead in bed.,A man eats whatever food he wants.,A man puts the needs and feelings of others before himself.,A man does not let his feelings cloud his judgement.,"A man is secure in his convictions, and is not easily swayed by the words of others.",A man is ready to use physical force or violence where it is necessary.,A man cherishes and values the qualities of women.,A man will defend his integrity if it is questioned.,A man helps other men to be good men.,A man does not speak ill of others.,A man is faithful to his roots.,A man lives in the present.,Feedback
11/19/2016 12:00:41,Woman,"Socialist, Feminist",Europe,26 - 40,No,Desirable,Neutral,Neutral,Essential,Essential,Desirable,Neutral,Neutral,Neutral,Desirable,Desirable,Desirable,Essential,Desirable,Neutral,Neutral,Neutral,Desirable,Neutral,Neutral,Desirable,Desirable,Neutral,Desirable,Desirable,Undesirable,Neutral,Neutral,Neutral,Neutral,Neutral,Desirable,Neutral,Desirable,Desirable,Essential,Essential,Undesirable,Neutral,Desirable,Desirable,Undesirable,Desirable,Essential,Neutral,Neutral,Neutral,Neutral,Undesirable,Undesirable,Undesirable,Undesirable,Neutral,Neutral,Neutral,Essential,Neutral,Neutral,Undesirable,Undesirable,Essential,Neutral,Essential,Neutral,Neutral,Neutral,
11/19/2016 12:01:58,Woman,"Liberal, Feminist, Moderate",Europe,18 - 25,No,Neutral,Desirable,Neutral,Desirable,Desirable,Desirable,Desirable,Desirable,Neutral,Desirable,Desirable,Desirable,Desirable,Desirable,Desirable,Desirable,Desirable,Desirable,Desirable,Desirable,Neutral,Desirable,Neutral,Desirable,Desirable,Desirable,Desirable,Neutral,Neutral,Desirable,Desirable,Desirable,Neutral,Desirable,Desirable,Desirable,Desirable,Neutral,Neutral,Desirable,Neutral,Undesirable,Desirable,Desirable,Neutral,Neutral,Undesirable,Desirable,Neutral,Neutral,Neutral,Undesirable,Desirable,Neutral,Neutral,Neutral,Desirable,Neutral,Neutral,Undesirable,Desirable,Neutral,Desirable,Desirable,Neutral,Neutral,
11/19/2016 12:03:51,Woman,"Socialist, Liberal, Feminist",Europe,26 - 40,No,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Desirable,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Desirable,Neutral,Desirable,Neutral,Neutral,Desirable,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Desirable,Neutral,Neutral,Desirable,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Desirable,Neutral,Neutral,Undesirable,Neutral,Neutral,Neutral,Undesirable,Neutral,Neutral,Neutral,Neutral,Neutral,Undesirable,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Mainly neutral as didn't define a man.
11/19/2016 12:06:33,Woman,"Socialist, Feminist",Europe,26 - 40,No,Desirable,Essential,Neutral,Neutral,Essential,Essential,Neutral,Neutral,Essential,Essential,Desirable,Essential,Essential,Essential,Undesirable,Desirable,Neutral,Desirable,Undesirable,Essential,Neutral,Essential,Undesirable,Essential,Desirable,Desirable,Essential,Essential,Neutral,Neutral,Neutral,Essential,Essential,Essential,Desirable,Essential,Neutral,Undesirable,Neutral,Essential,Neutral,Undesirable,Desirable,Desirable,Undesirable,Essential,Neutral,Undesirable,Undesirable,Undesirable,Desirable,Undesirable,Neutral,Desirable,Undesirable,Undesirable,Essential,Neutral,Neutral,Desirable,Essential,Neutral,Essential,Desirable,Neutral,Essential,"Probably better to put ""sex"" rather than ""gender"" in the first question: people are treated differently based on their sex and gender tends to be used to justify it. I put ""woman"" because I'm female but I don't identify with any gender because I don't believe they are real."
11/19/2016 12:12:10,Man,"Socialist, Liberal, Anarchist, Feminist, Egalitarian",Europe,26 - 40,No,Desirable,Desirable,Desirable,Neutral,Desirable,Desirable,Desirable,Desirable,Desirable,Desirable,Neutral,Desirable,Desirable,Desirable,Desirable,Desirable,Neutral,Desirable,Desirable,Desirable,Neutral,Neutral,Undesirable,Desirable,Desirable,Desirable,Neutral,Neutral,Neutral,Desirable,Neutral,Neutral,Desirable,Desirable,Desirable,Desirable,Desirable,Desirable,Neutral,Desirable,Neutral,Undesirable,Neutral,Desirable,Neutral,Neutral,Undesirable,Desirable,Neutral,Neutral,Undesirable,Undesirable,Neutral,Neutral,Neutral,Neutral,Neutral,Desirable,Neutral,Neutral,Desirable,Desirable,Desirable,Neutral,Neutral,Desirable,
11/19/2016 12:12:15,Man,Egalitarian,Europe,41 - 65,No,Neutral,Desirable,Neutral,Neutral,Desirable,Essential,Desirable,Neutral,Desirable,Essential,Desirable,Desirable,Desirable,Essential,Desirable,Neutral,Desirable,Desirable,Neutral,Desirable,Neutral,Desirable,Neutral,Desirable,Desirable,Neutral,Desirable,Neutral,Desirable,Desirable,Desirable,Essential,Desirable,Desirable,Essential,Desirable,Desirable,Desirable,Neutral,Essential,Desirable,Undesirable,Desirable,Desirable,Neutral,Desirable,Undesirable,Desirable,Neutral,Neutral,Neutral,Undesirable,Desirable,Neutral,Desirable,Desirable,Neutral,Essential,Desirable,Desirable,Essential,Essential,Desirable,Neutral,Neutral,Desirable,
11/19/2016 12:13:34,Man,"Socialist, Libertarian, Egalitarian, Moderate",Europe,18 - 25,No,Desirable,Desirable,Neutral,Neutral,Essential,Desirable,Desirable,Desirable,Desirable,Essential,Desirable,Desirable,Desirable,Essential,Essential,Desirable,Desirable,Neutral,Desirable,Desirable,Essential,Desirable,Desirable,Desirable,Undesirable,Undesirable,Desirable,Essential,Desirable,Essential,Desirable,Undesirable,Desirable,Essential,Desirable,Desirable,Desirable,Essential,Desirable,Essential,Neutral,Neutral,Desirable,Desirable,Neutral,Desirable,Neutral,Desirable,Neutral,Desirable,Neutral,Undesirable,Desirable,Desirable,Desirable,Undesirable,Desirable,Neutral,Undesirable,Desirable,Essential,Neutral,Essential,Undesirable,Neutral,Desirable,
11/19/2016 12:14:23,Man,Liberal,Europe,18 - 25,No,Desirable,Neutral,Neutral,Essential,Desirable,Neutral,Neutral,Desirable,Desirable,Desirable,Essential,Desirable,Desirable,Desirable,Neutral,Undesirable,Neutral,Desirable,Desirable,Essential,Neutral,Neutral,Neutral,Neutral,Desirable,Neutral,Desirable,Essential,Neutral,Neutral,Neutral,Desirable,Neutral,Undesirable,Desirable,Desirable,Essential,Neutral,Neutral,Desirable,Undesirable,Neutral,Desirable,Essential,Neutral,Neutral,Undesirable,Desirable,Undesirable,Desirable,Neutral,Undesirable,Desirable,Neutral,Neutral,Neutral,Desirable,Neutral,Neutral,Neutral,Essential,Desirable,Desirable,Neutral,Neutral,Neutral,"Maybe make the spectrum around 'agree to disagree' as opposed to the current ""desirable to undesirable"" as answers can be less ambiguous. "
11/19/2016 12:15:16,Man,"Liberal, Libertarian, Egalitarian, Moderate",Europe,26 - 40,No,Desirable,Neutral,Neutral,Desirable,Neutral,Desirable,Desirable,Neutral,Neutral,Desirable,Desirable,Desirable,Desirable,Desirable,Desirable,Desirable,Neutral,Desirable,Desirable,Desirable,Neutral,Neutral,Neutral,Desirable,Desirable,Neutral,Desirable,Desirable,Desirable,Desirable,Neutral,Neutral,Neutral,Neutral,Desirable,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Desirable,Desirable,Neutral,Desirable,Desirable,Neutral,Neutral,Undesirable,Desirable,Neutral,Neutral,Neutral,Neutral,Neutral,Desirable,Desirable,Neutral,Desirable,Desirable,Desirable,Desirable,Neutral,Neutral,Neutral,To simplistic
11/19/2016 12:16:37,Man,"Liberal, Feminist",Europe,18 - 25,No,Neutral,Neutral,Neutral,Desirable,Essential,Desirable,Neutral,Neutral,Neutral,Desirable,Neutral,Neutral,Neutral,Desirable,Neutral,Neutral,Neutral,Desirable,Desirable,Desirable,Desirable,Essential,Neutral,Desirable,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Essential,Neutral,Desirable,Desirable,Desirable,Desirable,Neutral,Neutral,Desirable,Undesirable,Undesirable,Neutral,Desirable,Neutral,Neutral,Undesirable,Undesirable,Undesirable,Neutral,Undesirable,Undesirable,Neutral,Neutral,Neutral,Neutral,Desirable,Desirable,Neutral,Undesirable,Desirable,Neutral,Desirable,Neutral,Neutral,Neutral,
11/19/2016 12:22:51,Woman,"Socialist, Liberal, Feminist, Moderate",Europe,26 - 40,No,Neutral,Neutral,Neutral,Neutral,Desirable,Neutral,Neutral,Neutral,Neutral,Desirable,Neutral,Neutral,Neutral,Desirable,Neutral,Neutral,Neutral,Neutral,Neutral,Desirable,Neutral,Desirable,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Desirable,Neutral,Neutral,Neutral,Desirable,Neutral,Neutral,Neutral,Neutral,Undesirable,Undesirable,Neutral,Desirable,Undesirable,Neutral,Undesirable,Neutral,Neutral,Undesirable,Neutral,Undesirable,Neutral,Neutral,Neutral,Neutral,Neutral,Undesirable,Neutral,Undesirable,Desirable,Neutral,Desirable,Neutral,Neutral,Neutral,
11/19/2016 12:23:30,Other,Men's Rights Activist,Europe,26 - 40,No,Desirable,Neutral,Essential,Desirable,Essential,Desirable,Essential,Neutral,Essential,Essential,Essential,Essential,Essential,Desirable,Essential,Essential,Desirable,Neutral,Neutral,Essential,Essential,Essential,Desirable,Essential,Essential,Desirable,Essential,Essential,Essential,Essential,Desirable,Essential,Essential,Neutral,Desirable,Desirable,Desirable,Essential,Neutral,Essential,Neutral,Essential,Essential,Desirable,Neutral,Neutral,Undesirable,Essential,Neutral,Neutral,Neutral,Undesirable,Desirable,Neutral,Neutral,Neutral,Essential,Neutral,Essential,Desirable,Essential,Essential,Essential,Neutral,Essential,Desirable,
11/19/2016 12:26:21,Woman,"Socialist, Liberal, Feminist, Egalitarian, Moderate",Europe,26 - 40,Maybe,Neutral,Neutral,Neutral,Desirable,Neutral,Desirable,Neutral,Neutral,Neutral,Desirable,Desirable,Desirable,Neutral,Desirable,Neutral,Undesirable,Desirable,Desirable,Neutral,Desirable,Neutral,Desirable,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Undesirable,Undesirable,Neutral,Desirable,Desirable,Desirable,Undesirable,Neutral,Desirable,Undesirable,Undesirable,Neutral,Desirable,Neutral,Undesirable,Undesirable,Undesirable,Undesirable,Undesirable,Undesirable,Undesirable,Desirable,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Desirable,Neutral,Desirable,Desirable,Neutral,Undesirable,
11/19/2016 12:27:46,Man,"Liberal, Men's Rights Activist, Egalitarian, Moderate",Europe,26 - 40,No,Desirable,Neutral,Desirable,Desirable,Neutral,Desirable,Neutral,Neutral,Neutral,Desirable,Desirable,Desirable,Desirable,Neutral,Desirable,Desirable,Neutral,Desirable,Neutral,Desirable,Undesirable,Neutral,Undesirable,Desirable,Desirable,Neutral,Neutral,Neutral,Neutral,Desirable,Desirable,Desirable,Neutral,Desirable,Desirable,Neutral,Undesirable,Neutral,Neutral,Neutral,Undesirable,Neutral,Neutral,Desirable,Neutral,Neutral,Undesirable,Neutral,Undesirable,Neutral,Neutral,Neutral,Desirable,Desirable,Neutral,Neutral,Neutral,Desirable,Neutral,Desirable,Neutral,Desirable,Desirable,Neutral,Neutral,Neutral,"Many of the statements in this survey would have the same response if they began ""A person"" rather than ""A man"" in order to get more accurate results you may want to have all the questions with ""A woman"" infront in order to tease out those traits which are desirable only or especially of men."
11/19/2016 12:28:34,Other,Liberal,Europe,26 - 40,No,Desirable,Neutral,Neutral,Neutral,Neutral,Desirable,Desirable,Desirable,Desirable,Desirable,Neutral,Neutral,Desirable,Desirable,Neutral,Neutral,Desirable,Neutral,Neutral,Neutral,Neutral,Neutral,Desirable,Desirable,Desirable,Neutral,Neutral,Desirable,Desirable,Desirable,Desirable,Desirable,Neutral,Neutral,Desirable,Neutral,Desirable,Neutral,Neutral,Desirable,Neutral,Undesirable,Neutral,Desirable,Neutral,Neutral,Undesirable,Neutral,Neutral,Neutral,Undesirable,Neutral,Neutral,Neutral,Neutral,Neutral,Desirable,Desirable,Undesirable,Neutral,Neutral,Desirable,Desirable,Desirable,Neutral,Neutral,
11/19/2016 12:28:47,Man,"Liberal, Conservative, Moderate",Europe,26 - 40,Maybe,Neutral,Neutral,Desirable,Neutral,Desirable,Desirable,Neutral,Neutral,Neutral,Desirable,Desirable,Neutral,Neutral,Desirable,Desirable,Desirable,Desirable,Neutral,Desirable,Desirable,Essential,Desirable,Neutral,Desirable,Desirable,Neutral,Neutral,Neutral,Desirable,Desirable,Neutral,Desirable,Neutral,Desirable,Essential,Neutral,Essential,Desirable,Neutral,Desirable,Neutral,Neutral,Desirable,Essential,Desirable,Desirable,Undesirable,Desirable,Neutral,Neutral,Neutral,Undesirable,Neutral,Neutral,Desirable,Essential,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Desirable,Desirable,Neutral,Desirable,
11/19/2016 12:29:38,Woman,"Socialist, Liberal, Feminist",Europe,26 - 40,No,Neutral,Neutral,Neutral,Desirable,Desirable,Desirable,Desirable,Neutral,Desirable,Desirable,Desirable,Desirable,Desirable,Desirable,Neutral,Desirable,Neutral,Neutral,Desirable,Essential,Neutral,Desirable,Neutral,Desirable,Desirable,Undesirable,Desirable,Neutral,Desirable,Desirable,Desirable,Desirable,Neutral,Essential,Neutral,Desirable,Desirable,Neutral,Desirable,Desirable,Desirable,Undesirable,Desirable,Essential,Neutral,Neutral,Undesirable,Desirable,Undesirable,Neutral,Undesirable,Undesirable,Neutral,Desirable,Neutral,Neutral,Neutral,Undesirable,Neutral,Neutral,Neutral,Desirable,Desirable,Desirable,Neutral,Neutral,
11/19/2016 12:32:21,Man,"Socialist, Anarchist",Europe,26 - 40,No,Desirable,Desirable,Desirable,Desirable,Desirable,Desirable,Neutral,Neutral,Neutral,Desirable,Neutral,Desirable,Desirable,Desirable,Neutral,Neutral,Neutral,Desirable,Desirable,Desirable,Neutral,Desirable,Undesirable,Desirable,Neutral,Neutral,Desirable,Neutral,Neutral,Desirable,Neutral,Desirable,Desirable,Neutral,Desirable,Desirable,Desirable,Neutral,Desirable,Desirable,Undesirable,Neutral,Desirable,Desirable,Neutral,Neutral,Neutral,Desirable,Neutral,Undesirable,Neutral,Undesirable,Neutral,Neutral,Neutral,Neutral,Neutral,Desirable,Neutral,Neutral,Desirable,Desirable,Desirable,Neutral,Desirable,Neutral,
11/19/2016 12:34:34,Man,"Socialist, Liberal, Moderate",Europe,26 - 40,No,Desirable,Neutral,Desirable,Desirable,Desirable,Desirable,Desirable,Desirable,Neutral,Desirable,Desirable,Desirable,Essential,Desirable,Desirable,Desirable,Neutral,Desirable,Essential,Desirable,Desirable,Desirable,Neutral,Neutral,Desirable,Neutral,Desirable,Neutral,Desirable,Desirable,Desirable,Desirable,Neutral,Desirable,Desirable,Desirable,Desirable,Neutral,Neutral,Desirable,Neutral,Undesirable,Desirable,Desirable,Neutral,Neutral,Undesirable,Neutral,Neutral,Neutral,Neutral,Undesirable,Neutral,Neutral,Neutral,Desirable,Neutral,Neutral,Neutral,Neutral,Essential,Desirable,Essential,Neutral,Desirable,Neutral,
11/19/2016 12:35:30,Man,"Socialist, Feminist",Europe,26 - 40,No,Neutral,Desirable,Neutral,Desirable,Desirable,Desirable,Neutral,Neutral,Neutral,Essential,Desirable,Essential,Desirable,Essential,Neutral,Essential,Neutral,Neutral,Neutral,Neutral,Desirable,Essential,Neutral,Neutral,Undesirable,Neutral,Desirable,Neutral,Desirable,Essential,Neutral,Desirable,Desirable,Desirable,Desirable,Desirable,Essential,Undesirable,Desirable,Desirable,Undesirable,Undesirable,Neutral,Desirable,Neutral,Neutral,Undesirable,Neutral,Undesirable,Undesirable,Undesirable,Undesirable,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Undesirable,Essential,Desirable,Essential,Essential,Neutral,Neutral,Some questions were quite ambiguous and not always the answer I gave was an answer I could swear on as valid in 100% of cases :/  
11/19/2016 12:37:16,Man,"Socialist, Liberal, Feminist, Egalitarian, Moderate",Northern America,26 - 40,No,Desirable,Desirable,Desirable,Essential,Desirable,Essential,Neutral,Neutral,Neutral,Essential,Desirable,Desirable,Desirable,Desirable,Desirable,Desirable,Desirable,Desirable,Neutral,Desirable,Undesirable,Essential,Undesirable,Desirable,Desirable,Desirable,Desirable,Desirable,Neutral,Desirable,Desirable,Undesirable,Undesirable,Desirable,Desirable,Essential,Desirable,Neutral,Desirable,Desirable,Undesirable,Neutral,Desirable,Essential,Neutral,Desirable,Undesirable,Neutral,Undesirable,Undesirable,Undesirable,Undesirable,Neutral,Desirable,Neutral,Desirable,Neutral,Undesirable,Desirable,Undesirable,Essential,Desirable,Essential,Neutral,Neutral,Neutral,
11/19/2016 12:41:44,Man,"Socialist, Liberal, Feminist, Moderate",Europe,26 - 40,No,Neutral,Neutral,Desirable,Essential,Desirable,Desirable,Neutral,Neutral,Neutral,Desirable,Neutral,Essential,Desirable,Essential,Desirable,Desirable,Desirable,Desirable,Essential,Desirable,Neutral,Desirable,Neutral,Desirable,Desirable,Neutral,Desirable,Desirable,Desirable,Desirable,Desirable,Desirable,Neutral,Neutral,Desirable,Desirable,Desirable,Desirable,Desirable,Neutral,Undesirable,Neutral,Desirable,Essential,Neutral,Neutral,Undesirable,Desirable,Undesirable,Desirable,Neutral,Undesirable,Desirable,Neutral,Neutral,Neutral,Desirable,Neutral,Neutral,Neutral,Essential,Desirable,Desirable,Desirable,Desirable,Desirable,
11/19/2016 12:44:06,Woman,"Socialist, Liberal, Feminist",Europe,26 - 40,Maybe,Desirable,Neutral,Neutral,Essential,Neutral,Essential,Desirable,Desirable,Neutral,Neutral,Desirable,Essential,Desirable,Essential,Essential,Desirable,Desirable,Desirable,Essential,Desirable,Essential,Desirable,Neutral,Essential,Desirable,Neutral,Desirable,Essential,Neutral,Essential,Neutral,Desirable,Desirable,Essential,Desirable,Desirable,Essential,Neutral,Neutral,Essential,Undesirable,Neutral,Essential,Essential,Neutral,Neutral,Undesirable,Essential,Neutral,Neutral,Neutral,Undesirable,Desirable,Neutral,Desirable,Neutral,Neutral,Neutral,Neutral,Neutral,Essential,Essential,Desirable,Essential,Essential,Desirable,
11/19/2016 12:44:22,Man,"Liberal, Conservative, Moderate",Europe,26 - 40,No,Desirable,Neutral,Desirable,Desirable,Essential,Essential,Desirable,Neutral,Desirable,Essential,Essential,Desirable,Desirable,Desirable,Desirable,Desirable,Neutral,Desirable,Essential,Essential,Neutral,Desirable,Neutral,Neutral,Desirable,Neutral,Desirable,Desirable,Neutral,Neutral,Desirable,Desirable,Desirable,Desirable,Desirable,Desirable,Desirable,Neutral,Undesirable,Essential,Desirable,Neutral,Neutral,Desirable,Neutral,Essential,Desirable,Neutral,Undesirable,Undesirable,Desirable,Undesirable,Neutral,Neutral,Neutral,Neutral,Desirable,Desirable,Desirable,Neutral,Essential,Desirable,Desirable,Desirable,Desirable,Neutral,
11/19/2016 12:48:27,Man,"Socialist, Liberal, Feminist, Moderate",Europe,26 - 40,Maybe,Desirable,Neutral,Neutral,Essential,Desirable,Neutral,Essential,Essential,Desirable,Essential,Neutral,Desirable,Desirable,Essential,Neutral,Essential,Neutral,Desirable,Neutral,Essential,Undesirable,Essential,Undesirable,Essential,Desirable,Desirable,Neutral,Desirable,Desirable,Neutral,Desirable,Essential,Neutral,Essential,Desirable,Desirable,Essential,Neutral,Essential,Essential,Undesirable,Undesirable,Desirable,Desirable,Neutral,Neutral,Undesirable,Undesirable,Undesirable,Undesirable,Undesirable,Undesirable,Desirable,Neutral,Neutral,Neutral,Desirable,Essential,Desirable,Neutral,Essential,Essential,Essential,Desirable,Neutral,Desirable,
11/19/2016 12:52:36,Woman,"Egalitarian, Moderate",Europe,26 - 40,No,Neutral,Essential,Neutral,Desirable,Desirable,Desirable,Undesirable,Neutral,Neutral,Desirable,Desirable,Desirable,Desirable,Desirable,Desirable,Desirable,Desirable,Neutral,Neutral,Neutral,Desirable,Desirable,Neutral,Desirable,Neutral,Neutral,Desirable,Desirable,Desirable,Desirable,Neutral,Neutral,Neutral,Desirable,Desirable,Essential,Neutral,Neutral,Neutral,Essential,Undesirable,Neutral,Neutral,Desirable,Neutral,Neutral,Undesirable,Desirable,Neutral,Neutral,Undesirable,Undesirable,Neutral,Desirable,Neutral,Neutral,Neutral,Desirable,Desirable,Neutral,Essential,Neutral,Essential,Neutral,Neutral,Neutral,
11/19/2016 12:53:27,Woman,"Socialist, Liberal, Conservative, Libertarian, Anarchist, Feminist, Men's Rights Activist, Egalitarian, Moderate",Europe,26 - 40,No,Desirable,Essential,Neutral,Essential,Essential,Desirable,Neutral,Desirable,Neutral,Desirable,Desirable,Essential,Desirable,Essential,Neutral,Neutral,Neutral,Essential,Neutral,Desirable,Neutral,Desirable,Neutral,Essential,Neutral,Neutral,Essential,Neutral,Desirable,Desirable,Desirable,Desirable,Neutral,Desirable,Desirable,Desirable,Neutral,Neutral,Neutral,Desirable,Neutral,Undesirable,Essential,Desirable,Neutral,Desirable,Neutral,Neutral,Undesirable,Neutral,Neutral,Undesirable,Neutral,Desirable,Neutral,Neutral,Neutral,Desirable,Undesirable,Neutral,Desirable,Neutral,Essential,Desirable,Neutral,Desirable,
11/19/2016 12:54:00,Man,"Socialist, Liberal, Feminist, Egalitarian",Europe,18 - 25,No,Desirable,Essential,Desirable,Essential,Essential,Desirable,Neutral,Desirable,Desirable,Essential,Desirable,Essential,Essential,Essential,Undesirable,Desirable,Desirable,Essential,Essential,Essential,Essential,Essential,Neutral,Neutral,Essential,Undesirable,Desirable,Desirable,Desirable,Desirable,Neutral,Undesirable,Essential,Desirable,Essential,Essential,Essential,Neutral,Undesirable,Desirable,Neutral,Undesirable,Essential,Desirable,Undesirable,Neutral,Undesirable,Desirable,Undesirable,Undesirable,Undesirable,Undesirable,Neutral,Undesirable,Neutral,Neutral,Essential,Desirable,Neutral,Undesirable,Essential,Neutral,Essential,Essential,Desirable,Desirable,
